Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Austria,Austria,AT,276.51,322.97,56.54,40.68,entsoe.eu,false,
2021-01-01 01:00:00,Austria,Austria,AT,278.51,322.11,55.52,38.78,entsoe.eu,false,
2021-01-01 02:00:00,Austria,Austria,AT,267.2,305.9,56.29,39.22,entsoe.eu,false,
2021-01-01 03:00:00,Austria,Austria,AT,265.05,302.98,56.67,39.18,entsoe.eu,false,
2021-01-01 04:00:00,Austria,Austria,AT,272.7,311.27,55.47,37.84,entsoe.eu,false,
2021-01-01 05:00:00,Austria,Austria,AT,276.27,319.15,55.34,37.94,entsoe.eu,false,
2021-01-01 06:00:00,Austria,Austria,AT,275.58,319.67,54.09,37.6,entsoe.eu,false,
2021-01-01 07:00:00,Austria,Austria,AT,265.9,308.58,55.52,39.64,entsoe.eu,false,
2021-01-01 08:00:00,Austria,Austria,AT,265.44,309.09,56.14,41.04,entsoe.eu,false,
2021-01-01 09:00:00,Austria,Austria,AT,263.33,309.24,57.04,41.62,entsoe.eu,false,
2021-01-01 10:00:00,Austria,Austria,AT,256.2,303.11,58.02,43.35,entsoe.eu,false,
2021-01-01 11:00:00,Austria,Austria,AT,248.91,300.35,58.74,44.71,entsoe.eu,false,
2021-01-01 12:00:00,Austria,Austria,AT,257.89,300.03,56.95,42.86,entsoe.eu,false,
2021-01-01 13:00:00,Austria,Austria,AT,262.48,305.56,56.38,42.09,entsoe.eu,false,
2021-01-01 14:00:00,Austria,Austria,AT,258.56,302.85,57.0,42.81,entsoe.eu,false,
2021-01-01 15:00:00,Austria,Austria,AT,251.54,293.61,58.48,45.7,entsoe.eu,false,
2021-01-01 16:00:00,Austria,Austria,AT,236.25,275.69,64.93,54.65,entsoe.eu,false,
2021-01-01 17:00:00,Austria,Austria,AT,234.38,276.81,65.68,55.66,entsoe.eu,false,
2021-01-01 18:00:00,Austria,Austria,AT,242.23,285.2,64.04,54.03,entsoe.eu,false,
2021-01-01 19:00:00,Austria,Austria,AT,258.57,307.19,59.67,48.3,entsoe.eu,false,
2021-01-01 20:00:00,Austria,Austria,AT,272.78,323.46,55.44,42.29,entsoe.eu,false,
2021-01-01 21:00:00,Austria,Austria,AT,281.09,333.72,53.98,39.49,entsoe.eu,false,
2021-01-01 22:00:00,Austria,Austria,AT,285.3,337.22,52.72,37.36,entsoe.eu,false,
2021-01-01 23:00:00,Austria,Austria,AT,281.59,330.31,52.79,36.47,entsoe.eu,false,
2021-01-02 00:00:00,Austria,Austria,AT,272.09,318.52,54.26,37.39,entsoe.eu,false,
2021-01-02 01:00:00,Austria,Austria,AT,266.58,311.58,54.49,37.54,entsoe.eu,false,
2021-01-02 02:00:00,Austria,Austria,AT,272.47,308.12,53.99,36.98,entsoe.eu,false,
2021-01-02 03:00:00,Austria,Austria,AT,257.45,295.26,56.69,40.25,entsoe.eu,false,
2021-01-02 04:00:00,Austria,Austria,AT,265.23,305.83,55.75,39.86,entsoe.eu,false,
2021-01-02 05:00:00,Austria,Austria,AT,254.56,296.65,56.6,42.71,entsoe.eu,false,
2021-01-02 06:00:00,Austria,Austria,AT,252.15,301.44,57.7,44.65,entsoe.eu,false,
2021-01-02 07:00:00,Austria,Austria,AT,251.36,293.41,57.63,45.25,entsoe.eu,false,
2021-01-02 08:00:00,Austria,Austria,AT,254.84,300.19,58.33,46.5,entsoe.eu,false,
2021-01-02 09:00:00,Austria,Austria,AT,250.92,296.73,59.18,47.66,entsoe.eu,false,
2021-01-02 10:00:00,Austria,Austria,AT,237.16,281.96,60.95,50.21,entsoe.eu,false,
2021-01-02 11:00:00,Austria,Austria,AT,232.85,273.17,61.31,50.79,entsoe.eu,false,
2021-01-02 12:00:00,Austria,Austria,AT,230.46,274.0,61.36,50.76,entsoe.eu,false,
2021-01-02 13:00:00,Austria,Austria,AT,241.33,284.64,59.84,49.3,entsoe.eu,false,
2021-01-02 14:00:00,Austria,Austria,AT,224.64,266.54,61.69,51.98,entsoe.eu,false,
2021-01-02 15:00:00,Austria,Austria,AT,213.1,255.74,64.73,57.05,entsoe.eu,false,
2021-01-02 16:00:00,Austria,Austria,AT,207.11,247.7,69.25,63.59,entsoe.eu,false,
2021-01-02 17:00:00,Austria,Austria,AT,203.85,243.1,69.96,64.97,entsoe.eu,false,
2021-01-02 18:00:00,Austria,Austria,AT,208.7,252.02,69.07,63.44,entsoe.eu,false,
2021-01-02 19:00:00,Austria,Austria,AT,239.93,289.38,62.38,53.7,entsoe.eu,false,
2021-01-02 20:00:00,Austria,Austria,AT,250.24,300.4,59.98,50.01,entsoe.eu,false,
2021-01-02 21:00:00,Austria,Austria,AT,232.9,280.12,60.97,50.72,entsoe.eu,false,
2021-01-02 22:00:00,Austria,Austria,AT,225.67,267.49,60.87,50.2,entsoe.eu,false,
2021-01-02 23:00:00,Austria,Austria,AT,199.82,237.05,66.93,57.81,entsoe.eu,false,
2021-01-03 00:00:00,Austria,Austria,AT,185.84,224.21,69.59,59.08,entsoe.eu,false,
2021-01-03 01:00:00,Austria,Austria,AT,189.21,231.16,68.82,55.71,entsoe.eu,false,
2021-01-03 02:00:00,Austria,Austria,AT,216.61,253.02,65.53,51.3,entsoe.eu,false,
2021-01-03 03:00:00,Austria,Austria,AT,233.4,263.34,62.97,48.03,entsoe.eu,false,
2021-01-03 04:00:00,Austria,Austria,AT,239.76,274.91,60.13,46.33,entsoe.eu,false,
2021-01-03 05:00:00,Austria,Austria,AT,231.99,272.38,61.85,48.05,entsoe.eu,false,
2021-01-03 06:00:00,Austria,Austria,AT,237.36,275.45,62.02,48.12,entsoe.eu,false,
2021-01-03 07:00:00,Austria,Austria,AT,241.88,287.69,60.97,48.79,entsoe.eu,false,
2021-01-03 08:00:00,Austria,Austria,AT,246.55,293.34,59.44,48.38,entsoe.eu,false,
2021-01-03 09:00:00,Austria,Austria,AT,242.58,293.34,58.54,49.04,entsoe.eu,false,
2021-01-03 10:00:00,Austria,Austria,AT,235.47,285.89,59.48,50.84,entsoe.eu,false,
2021-01-03 11:00:00,Austria,Austria,AT,239.12,290.92,59.34,50.5,entsoe.eu,false,
2021-01-03 12:00:00,Austria,Austria,AT,236.99,285.12,61.98,51.95,entsoe.eu,false,
2021-01-03 13:00:00,Austria,Austria,AT,246.06,293.19,60.9,50.2,entsoe.eu,false,
2021-01-03 14:00:00,Austria,Austria,AT,252.31,300.36,60.93,50.03,entsoe.eu,false,
2021-01-03 15:00:00,Austria,Austria,AT,255.72,309.09,61.13,51.85,entsoe.eu,false,
2021-01-03 16:00:00,Austria,Austria,AT,261.36,312.16,61.43,52.58,entsoe.eu,false,
2021-01-03 17:00:00,Austria,Austria,AT,272.62,323.68,60.01,50.39,entsoe.eu,false,
2021-01-03 18:00:00,Austria,Austria,AT,272.03,324.1,58.66,48.75,entsoe.eu,false,
2021-01-03 19:00:00,Austria,Austria,AT,268.97,321.95,59.08,49.51,entsoe.eu,false,
2021-01-03 20:00:00,Austria,Austria,AT,278.49,330.1,57.04,45.22,entsoe.eu,false,
2021-01-03 21:00:00,Austria,Austria,AT,286.45,338.35,54.85,40.5,entsoe.eu,false,
2021-01-03 22:00:00,Austria,Austria,AT,282.9,329.82,55.31,39.96,entsoe.eu,false,
