Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Austria,Austria,AT,59.41,84.13,92.71,88.09,entsoe.eu,false,
2022-01-01 01:00:00,Austria,Austria,AT,52.28,76.83,93.47,89.66,entsoe.eu,false,
2022-01-01 02:00:00,Austria,Austria,AT,49.46,73.64,93.79,90.14,entsoe.eu,false,
2022-01-01 03:00:00,Austria,Austria,AT,45.83,69.62,94.17,90.74,entsoe.eu,false,
2022-01-01 04:00:00,Austria,Austria,AT,46.15,70.01,94.17,90.74,entsoe.eu,false,
2022-01-01 05:00:00,Austria,Austria,AT,50.47,74.59,93.71,89.82,entsoe.eu,false,
2022-01-01 06:00:00,Austria,Austria,AT,52.15,74.01,93.4,88.53,entsoe.eu,false,
2022-01-01 07:00:00,Austria,Austria,AT,52.7,75.64,93.41,88.53,entsoe.eu,false,
2022-01-01 08:00:00,Austria,Austria,AT,58.44,82.5,92.75,87.59,entsoe.eu,false,
2022-01-01 09:00:00,Austria,Austria,AT,51.7,75.96,93.42,89.0,entsoe.eu,false,
2022-01-01 10:00:00,Austria,Austria,AT,33.55,57.1,95.42,92.92,entsoe.eu,false,
2022-01-01 11:00:00,Austria,Austria,AT,34.97,59.13,95.28,92.85,entsoe.eu,false,
2022-01-01 12:00:00,Austria,Austria,AT,23.04,45.36,96.59,94.92,entsoe.eu,false,
2022-01-01 13:00:00,Austria,Austria,AT,32.87,55.95,95.53,92.84,entsoe.eu,false,
2022-01-01 14:00:00,Austria,Austria,AT,56.89,80.91,93.48,88.93,entsoe.eu,false,
2022-01-01 15:00:00,Austria,Austria,AT,76.07,98.68,92.8,87.42,entsoe.eu,false,
2022-01-01 16:00:00,Austria,Austria,AT,88.05,110.33,91.99,86.15,entsoe.eu,false,
2022-01-01 17:00:00,Austria,Austria,AT,99.73,123.16,91.03,84.73,entsoe.eu,false,
2022-01-01 18:00:00,Austria,Austria,AT,108.99,133.8,89.89,83.1,entsoe.eu,false,
2022-01-01 19:00:00,Austria,Austria,AT,104.9,131.15,89.5,82.43,entsoe.eu,false,
2022-01-01 20:00:00,Austria,Austria,AT,103.29,130.4,88.99,81.11,entsoe.eu,false,
2022-01-01 21:00:00,Austria,Austria,AT,113.77,140.98,88.27,79.3,entsoe.eu,false,
2022-01-01 22:00:00,Austria,Austria,AT,107.93,137.65,87.42,77.45,entsoe.eu,false,
2022-01-01 23:00:00,Austria,Austria,AT,132.9,165.72,84.42,71.78,entsoe.eu,false,
2022-01-02 00:00:00,Austria,Austria,AT,133.55,166.48,84.33,71.53,entsoe.eu,false,
2022-01-02 01:00:00,Austria,Austria,AT,123.57,157.0,85.28,73.18,entsoe.eu,false,
2022-01-02 02:00:00,Austria,Austria,AT,116.77,150.57,85.95,74.33,entsoe.eu,false,
2022-01-02 03:00:00,Austria,Austria,AT,114.0,147.38,86.15,74.16,entsoe.eu,false,
2022-01-02 04:00:00,Austria,Austria,AT,113.67,146.67,86.27,74.66,entsoe.eu,false,
2022-01-02 05:00:00,Austria,Austria,AT,108.34,141.0,86.86,76.1,entsoe.eu,false,
2022-01-02 06:00:00,Austria,Austria,AT,107.89,140.55,87.04,77.18,entsoe.eu,false,
2022-01-02 07:00:00,Austria,Austria,AT,108.98,141.88,87.18,78.39,entsoe.eu,false,
2022-01-02 08:00:00,Austria,Austria,AT,106.78,139.49,87.47,78.67,entsoe.eu,false,
2022-01-02 09:00:00,Austria,Austria,AT,100.57,133.31,88.15,80.14,entsoe.eu,false,
2022-01-02 10:00:00,Austria,Austria,AT,94.09,126.8,88.74,81.07,entsoe.eu,false,
2022-01-02 11:00:00,Austria,Austria,AT,93.9,126.41,88.76,81.21,entsoe.eu,false,
2022-01-02 12:00:00,Austria,Austria,AT,93.87,125.76,88.74,80.94,entsoe.eu,false,
2022-01-02 13:00:00,Austria,Austria,AT,99.35,131.55,88.18,80.0,entsoe.eu,false,
2022-01-02 14:00:00,Austria,Austria,AT,103.2,135.2,88.01,79.47,entsoe.eu,false,
2022-01-02 15:00:00,Austria,Austria,AT,119.81,148.96,88.55,80.27,entsoe.eu,false,
2022-01-02 16:00:00,Austria,Austria,AT,125.71,152.96,88.78,80.78,entsoe.eu,false,
2022-01-02 17:00:00,Austria,Austria,AT,119.5,147.11,89.06,81.44,entsoe.eu,false,
2022-01-02 18:00:00,Austria,Austria,AT,107.16,137.92,88.03,80.04,entsoe.eu,false,
2022-01-02 19:00:00,Austria,Austria,AT,103.0,134.61,88.02,80.13,entsoe.eu,false,
2022-01-02 20:00:00,Austria,Austria,AT,99.28,131.09,88.27,80.28,entsoe.eu,false,
2022-01-02 21:00:00,Austria,Austria,AT,104.05,135.99,87.76,79.33,entsoe.eu,false,
2022-01-02 22:00:00,Austria,Austria,AT,95.83,127.14,88.54,80.49,entsoe.eu,false,
2022-01-02 23:00:00,Austria,Austria,AT,93.98,125.15,88.69,80.52,entsoe.eu,false,
2022-01-03 00:00:00,Austria,Austria,AT,81.89,112.8,90.01,83.41,entsoe.eu,false,
2022-01-03 01:00:00,Austria,Austria,AT,79.98,111.58,89.56,83.65,entsoe.eu,false,
